Category,Description,Assigned_Team
Access,access deny auditor policy,Desktop Support
Security,suspicious dll injection,Security Team
Security,suspicious soc alert,Security Team
Software,app freeze,Application Support
Access,access logging failure,Desktop Support
Security,suspicious outbound traffic,Security Team
Security,unauthorized access attempt,Security Team
Hardware,peripheral device failure,Desktop Support
Network,access point,Network Team
Security,suspicious session hijack,Security Team
Hardware,laptop charge port loose,Desktop Support
Software,application crash print,Application Support
Access,access deny outage,Desktop Support
Software,application crash sync,Application Support
Hardware,laptop screen red tint,Desktop Support
Hardware,laptop screen color distortion,Desktop Support
Software,slow application performance,Application Support
Access,remote desktop login failure,Desktop Support
Access,access compliance violation,Desktop Support
Hardware,loose cable connection,Desktop Support
Software,collaboration tool login failure,Application Support
Network,network dual - stack error,Network Team
Access,access deny partner policy,Desktop Support
Hardware,webcam malfunction,Desktop Support
Software,mobile app installing,Application Support
Security,spyware infection,Security Team
Software,application crash api call,Application Support
Hardware,laptop hinge loose,Desktop Support
Access,access deny switch,Desktop Support
Network,ip conflict,Network Team
Software,application crash query,Application Support
Network,firewall block access,Network Team
Access,access right revoke,Desktop Support
Security,suspicious c2 server detect,Security Team
Hardware,smartphone charge issue,Desktop Support
Access,access deny password policy,Desktop Support
Security,suspicious nist violation,Security Team
Software,api call failure,Application Support
Security,suspicious iot device alert,Security Team
Hardware,ssd detect,Desktop Support
Network,load balancer misconfigured,Network Team
Hardware,usb port work,Desktop Support
Security,rootkit find,Security Team
Access,access deny guest policy,Desktop Support
Network,proxy server misconfiguration,Network Team
Software,application crash cloud sync,Application Support
Software,application crash export,Application Support
Network,network adapter disable,Network Team
Software,application crash dashboard,Application Support
Security,suspicious partner compromise,Security Team
Network,network ddo detect,Network Team
Access,access deny api,Desktop Support
Hardware,overheat issue,Desktop Support
Network,network blackhole rout,Network Team
Network,access point misconfigured,Network Team
Security,suspicious beacon traffic,Security Team
Access,access deny iso policy,Desktop Support
Security,malware alert,Security Team
Software,application crash build,Application Support
Network,switch overheat,Network Team
Security,suspicious policy violation,Security Team
Access,access deny siem policy,Desktop Support
Security,suspicious mobile device alert,Security Team
Security,suspicious process execution,Security Team
Access,access deny casb policy,Desktop Support
Network,network snmp misconfigure,Network Team
Access,access token misconfigured,Desktop Support
Hardware,laptop screen problem,Desktop Support
Hardware,laptop casing crack,Desktop Support
Network,network subnet mask error,Network Team
Network,network repeater failure,Network Team
Software,application crash module,Application Support
Access,access role mismatch,Desktop Support
Network,network ipv6 misconfigured,Network Team
Security,phishe website block,Security Team
Software,compiler error,Application Support
Software,application memory overflow,Application Support
Network,wi - fi connectivity issue,Network Team
Security,suspicious jwt token use,Security Team
Software,application crash vm snapshot,Application Support
Network,router firmware outdate,Network Team
Network,packet loss detect,Network Team
Hardware,laptop screen hinge break,Desktop Support
Hardware,headset mic working,Desktop Support
Access,access deny database,Desktop Support
Security,suspicious shadow detect,Security Team
Access,pin reset require,Desktop Support
Security,suspicious container activity,Security Team
Access,user access deny,Desktop Support
Software,application crash framework,Application Support
Network,network tunneling error,Network Team
Software,operating system error,Application Support
Hardware,laptop fan failure,Desktop Support
Software,application crash automation,Application Support
Security,suspicious insider activity,Security Team
Access,share drive permission issue,Desktop Support
Security,suspicious oauth token use,Security Team
Security,suspicious replay attack,Security Team
Hardware,keyboard malfunction,Desktop Support
Network,firewall nat error,Network Team
Security,brute force login attempt,Security Team
Network,hotspot work,Network Team
Access,access deny iam policy,Desktop Support
Network,network dns cache poisoning,Network Team
Hardware,laptop screen orange tint,Desktop Support
Access,access audit failure,Desktop Support
Security,suspicious ics alert,Security Team
Hardware,laptop screen ghost image,Desktop Support
Security,suspicious ot device alert,Security Team
Hardware,laptop screen yellow tint,Desktop Support
Access,access deny custom policy,Desktop Support
Hardware,external ssd overheat,Desktop Support
Access,role - base access error,Desktop Support
Software,software update loop,Application Support
Software,application configuration mismatch,Application Support
Security,suspicious saas login,Security Team
Access,privilege escalation block,Desktop Support
Security,security patch miss,Security Team
Security,suspicious file download,Security Team
Security,endpoint compliant,Security Team
Network,bandwidth exceed,Network Team
Network,network authentication failure,Network Team
Hardware,overheat gpu,Desktop Support
Network,gateway timeout,Network Team
Hardware,laptop will n’t power,Desktop Support
Software,application crash vm restore,Application Support
Access,access deny proxy,Desktop Support
Access,access deny router,Desktop Support
Hardware,laptop cmos battery failure,Desktop Support
Hardware,laptop battery swell,Desktop Support
Software,application crash logout,Application Support
Software,application crash exit,Application Support
Hardware,cd / dvd drive working,Desktop Support
Software,application crash import,Application Support
Security,suspicious traffic tunneling,Security Team
Software,email client sync,Application Support
Access,group membership problem,Desktop Support
Hardware,speaker / audio failure,Desktop Support
Security,weak password detect,Security Team
Security,suspicious registry change,Security Team
Hardware,laptop screen black screen,Desktop Support
Security,malicious macro detect,Security Team
Access,password reset,Desktop Support
Access,api key expire,Desktop Support
Security,suspicious iso violation,Security Team
Security,keylogger detect,Security Team
Software,ui responsive,Application Support
Network,network ssl vpn failure,Network Team
Software,software installation fail,Application Support
Software,unrecognized file type,Application Support
Software,application crash vm deployment,Application Support
Software,database connection error,Application Support
Access,access deny gdpr policy,Desktop Support
Security,suspicious api token use,Security Team
Network,network dhcp server,Network Team
Hardware,laptop screen purple tint,Desktop Support
