Date,Description,Catégorie_Prédite,Assigned_Team,Statut
2026-07-02 11:47,probleme de reseau,Hardware,Desktop Support,Nouveau
2026-07-02 11:50,probleme de reseau,Hardware,Desktop Support,Nouveau
2026-07-02 11:51,probleme de reseau,Hardware,Desktop Support,Nouveau
2026-07-02 11:54,probleme de reseau,Hardware,Desktop Support,Nouveau
2026-07-02 12:00,probleme de reseau,Hardware,Desktop Support,Nouveau
2026-07-02 12:00,Problème SAP,Hardware,Desktop Support,Nouveau
2026-09-22 20:14,cafeteria fermee et pas de cafe,Network,Desktop Support,En cours
2026-09-22 20:15,Demande d'assistance directe : HELP j ai besoin d un technicien,Network,Desktop Support,En cours
2026-09-22 20:17,xzqwerty blocage inexplicable 987654321,Network,Desktop Support,En cours
2026-09-22 20:24,network,Network,Network Team,En cours
2026-09-22 20:28,i have an issue in my network,Network,Network Team,In Progress
